WKT,id,nom
"POLYGON ((11.510867737843 3.86659235292269,11.5111497501074 3.86619709449744,11.5111698938406 3.86584203168713,11.5109818856643 3.86556736035452,11.5108005920658 3.86545347221489,11.5104581486018 3.86544677291209,11.5101694217597 3.86560085686326,11.510041844783 3.86579513658785,11.5100955614048 3.8661435001205,11.5103171424696 3.86658565362888,11.510867737843 3.86659235292269))",1,LAC MUNICIPAL
"POLYGON ((11.4954824076219 3.85722887322613,11.4956104770531 3.85701723869269,11.4956665074293 3.85674770406909,11.4955744575256 3.85658797980735,11.4954824076219 3.85657001082602,11.4953423316814 3.85660794534171,11.4950661819704 3.85675169717524,11.4949661277272 3.85685551792878,11.4949941429153 3.85711107665271,11.4950661819704 3.85726880426427,11.4952702926264 3.85733469047309,11.4954824076219 3.85722887322613))",2,LAC OBILI
"POLYGON ((11.2906953242731 5.7682508070682,11.2904765080301 5.76813106750226,11.2902467509751 5.76816372375002,11.2899075857986 5.76844674448522,11.2898857041743 5.76863179642802,11.2899622898593 5.7688712753232,11.2902248693508 5.76909986871972,11.2906953242731 5.76902367093112,11.2909797853888 5.76868622345854,11.2906953242731 5.7682508070682))",3,.MBAM RIVER 1
"POLYGON ((11.2920301033549 5.76219848463978,11.2921066890399 5.76150181029044,11.291964458482 5.76120790054295,11.2918003462998 5.76093576175224,11.2915377668083 5.76076159285776,11.2912095424439 5.76097930396752,11.2911110751346 5.76130587047569,11.2911548383832 5.76175217773311,11.2911548383832 5.76224202675823,11.2910563710739 5.76274276088042,11.2912204832561 5.76298224226101,11.2915705892447 5.76303666983342,11.2919972809184 5.76268833327985,11.2920301033549 5.76219848463978))",4,MBAM RIVER 2
